,City,Country,Province,ID,POIID,distance
35,Calgary,CA,AB,4886648,POI1,285111.329598072
36,Halifax,CA,NS,4888452,POI4,69374.2690436148
37,Red Deer,CA,AB,4905577,POI1,143753.3049607742
38,North York,CA,ON,4907798,POI3,495856.68490623723
39,Markham,CA,ON,4931764,POI3,489356.9578453346
40,Montréal,CA,QC,4931866,POI3,8838.904191870839
41,Richmond Hill,CA,ON,4941368,POI3,498939.58219822095
42,Mississauga,CA,ON,4977764,POI3,528504.6202081767
43,Toronto,CA,ON,4979575,POI3,513943.472142292
44,Calgary,CA,AB,4985228,POI1,288884.2493832132
45,Newmarket,CA,ON,4988342,POI3,492533.3200844091
46,Mississauga,CA,ON,4995152,POI3,533560.7934675458
47,Calgary,CA,AB,4995338,POI1,271723.71630075393
48,Sherwood Park,CA,AB,4995468,POI1,14259.685661374388
49,Montréal,CA,QC,4995787,POI3,2817.8400700608154
50,Calgary,CA,AB,5012201,POI1,282482.28726888786
51,Brampton,CA,ON,5024141,POI3,531396.4944776809
52,Yorkton,CA,SK,5028116,POI1,791267.1887494214
53,Calgary,CA,AB,5029346,POI1,274209.1070102803
54,Brampton,CA,ON,5030037,POI3,525255.3444253722
55,Midland,CA,ON,5047363,POI3,501201.3365405549
56,Saint Catharines,CA,ON,5049332,POI3,520747.79834493133
57,Mississauga,CA,ON,5050375,POI3,533924.4976062712
58,Surrey,CA,BC,5058170,POI1,805675.0117505748
59,Bradford,CA,ON,5068233,POI3,500767.66775829217
60,Calgary,CA,AB,5073436,POI1,297470.6681929653
61,Richmond Hill,CA,ON,5091636,POI3,495840.14074532996
62,Mississauga,CA,ON,5106953,POI3,525382.0961338497
63,North Bay,CA,ON,5112594,POI3,457751.2621724106
64,Edmonton,CA,AB,5112875,POI1,11151.614449630859
65,Calgary,CA,AB,5119320,POI1,273444.3837463405
66,Beaumont,CA,AB,5120909,POI1,21502.644449070613
67,Calgary,CA,AB,5125069,POI1,277203.0063343148
68,Edmonton,CA,AB,5135708,POI1,15709.122536810717
69,Kingston,CA,ON,5138480,POI3,271106.78666601644
70,Saint-Laurent,CA,QC,5144032,POI3,9460.927196015873
71,Mississauga,CA,ON,5152683,POI3,529056.6985416564
72,Toronto,CA,ON,5179163,POI3,502693.9756492219
73,Toronto,CA,ON,5182982,POI3,502693.9756492219
74,Toronto,CA,ON,5200636,POI3,507590.1725237497
75,Fort Mcmurray,CA,AB,5201407,POI1,378046.5638613223
76,Aurora,CA,ON,5203725,POI3,494029.8012486027
77,Calgary,CA,AB,5229391,POI1,298385.48410589225
78,North York,CA,ON,5231834,POI3,512674.7988624561
79,Charlesbourg,CA,QC,5234920,POI3,231509.13584571177
80,Edmonton,CA,AB,5245415,POI1,723.1998215635728
81,Montréal,CA,QC,5280029,POI3,1439.3679092112093
82,Toronto,CA,ON,5289237,POI3,512524.02697818406
83,Toronto,CA,ON,5320514,POI3,503723.28416426067
84,Edmonton,CA,AB,5332251,POI1,7168.598619306816
85,Calgary,CA,AB,5361027,POI1,279464.90023715154
86,Burnaby,CA,BC,5365674,POI1,815949.779383412
87,London,CA,ON,5366781,POI3,671353.2920706137
88,Moncton,CA,NB,5372205,POI4,155330.41273397213
89,Toronto,CA,ON,5383480,POI3,508482.7813631094
90,Calgary,CA,AB,5384439,POI1,277648.6644961279
91,Windsor,CA,ON,5406561,POI3,839351.1438226353
92,Scarborough,CA,ON,5410292,POI3,490698.10796860984
93,Surrey,CA,BC,5411171,POI1,813671.7182636256
94,Winnipeg,CA,MB,5427531,POI1,1194333.3385677622
95,Pickering,CA,ON,5438451,POI3,473113.7575895718
96,Kingston,CA,ON,5465651,POI3,269740.6912064696
97,Maple Ridge,CA,BC,5466266,POI1,792610.4052893079
98,Ottawa,CA,ON,5475928,POI3,168220.15644914593
99,North York,CA,ON,5489996,POI3,501817.6249340187
100,Saskatoon,CA,SK,5501643,POI1,484684.1876926212
101,Red Deer,CA,AB,5508661,POI1,146295.25674371203
102,Calgary,CA,AB,5513207,POI1,279823.2450880281
103,Calgary,CA,AB,5517814,POI1,282484.8478125818
104,Richmond,CA,BC,5521806,POI1,827024.6172847621
105,Edmonton,CA,AB,5530931,POI1,5416.846823606217
106,Waterloo,CA,ON,5539513,POI3,598841.0687135176
107,Estevan,CA,SK,5539587,POI1,876127.7274542247
108,Mississauga,CA,ON,5548370,POI3,528504.6202081767
109,Ancaster,CA,ON,5556235,POI3,556857.6941750695
110,Calgary,CA,AB,5575481,POI1,285031.5165410274
111,Innisfail,CA,AB,5578853,POI1,171803.1605985929
112,Edmonton,CA,AB,5586841,POI1,6569.83469131686
113,Calgary,CA,AB,5600641,POI1,267906.07728703984
114,Regina,CA,SK,5610360,POI1,696314.0963180749
115,Toronto,CA,ON,5610883,POI3,503727.5302843575
116,Waterloo,CA,ON,4527235,POI3,597240.6506379055
117,Markham,CA,ON,4530039,POI3,489249.93432136375
118,Whitby,CA,ON,4535906,POI3,464410.675703247
119,Brantford,CA,ON,4539118,POI3,590218.9157995646
120,Edmonton,CA,AB,4540621,POI1,9701.997658880735
121,Sherwood Park,CA,AB,4542961,POI1,11642.412712772457
122,Edmonton,CA,AB,4543707,POI1,14943.991458978902
123,Windsor,CA,ON,4546150,POI3,835172.909814193
124,Kitchener,CA,ON,4547034,POI3,600154.9499664938
125,London,CA,ON,4550772,POI3,675748.1451270318
126,Calgary,CA,AB,4559418,POI1,281827.9602381364
127,Windsor,CA,ON,4576329,POI3,839239.3067655178
128,Calgary,CA,AB,4605629,POI1,281827.9602381364
129,Scarborough,CA,ON,4607086,POI3,489221.03042818647
130,Latchford,CA,ON,4627611,POI3,518832.019703602
131,Burlington,CA,ON,4650058,POI3,551601.0307131022
132,Edmonton,CA,AB,4654665,POI1,6258.50171712529
133,Etobicoke,CA,ON,4668826,POI3,520056.47699562326
134,Edmonton,CA,AB,4680779,POI1,13038.294000368454
135,Calgary,CA,AB,4692146,POI1,279673.63029724156
136,Sherwood Park,CA,AB,4693614,POI1,11642.412712772457
137,Edmonton,CA,AB,4695806,POI1,7454.490418280265
138,Stratford,CA,ON,4702528,POI3,634733.9960242022
139,Edmonton,CA,AB,4718848,POI1,1034.3902455356108
140,Calgary,CA,AB,4720567,POI1,277013.3529465776
141,Kitchener,CA,ON,4728850,POI3,597378.7433319631
142,Thornhill,CA,ON,4731859,POI3,496349.22110135347
143,Thunder Bay,CA,ON,4738099,POI3,1230805.6247722208
144,Scarborough,CA,ON,4738738,POI3,486891.15806611395
145,Calgary,CA,AB,4739678,POI1,295188.712798116
146,Oakville,CA,ON,4750460,POI3,536874.0990194277
147,Mississauga,CA,ON,4768270,POI3,535377.5862489444
148,Delson,CA,QC,4776650,POI3,17266.158301919797
149,Niagara Falls,CA,ON,4780620,POI3,518030.8220232831
150,Edmonton,CA,AB,4791377,POI1,13045.683349503406
151,Windsor,CA,ON,4802273,POI3,839239.3067655178
152,Calgary,CA,AB,4815765,POI1,277013.3529465776
153,North York,CA,ON,4819226,POI3,496512.5397951307
154,Calgary,CA,AB,4823272,POI1,281822.02612825576
155,Vancouver,CA,BC,4826306,POI1,821167.2330207907
156,Langley,CA,BC,4851458,POI1,799151.8155428345
157,Calgary,CA,AB,4852304,POI1,272661.0350799358
158,Vancouver,CA,BC,4859973,POI1,817737.1834655887
159,Montréal,CA,QC,4863498,POI3,11242.983482602764
160,York,CA,ON,4864164,POI3,512101.9825243734
161,Calgary,CA,AB,4882422,POI1,285173.110158529
162,Saskatoon,CA,SK,4927555,POI1,480734.4500350777
163,Maryfield,CA,SK,4929699,POI1,920384.8146935552
164,Toronto,CA,ON,4934328,POI3,507068.10909461684
165,Brampton,CA,ON,4941525,POI3,531190.7597929656
166,Calgary,CA,AB,4952997,POI1,273655.29708635306
167,Toronto,CA,ON,4971651,POI3,504464.46273194544
168,Calgary,CA,AB,4974150,POI1,273330.1645311482
169,Saskatoon,CA,SK,4992851,POI1,480734.4500350777
170,Milton,CA,ON,4995831,POI3,547877.2685732964
171,Edmonton,CA,AB,5002139,POI1,10004.637744922215
172,Chestermere,CA,AB,5002730,POI1,278023.96182465064
173,Kingston,CA,ON,5010560,POI3,269740.6912064696
174,Toronto,CA,ON,5013924,POI3,510625.5508028279
175,Edmonton,CA,AB,5023654,POI1,2379.0253657245366
176,Colchester,CA,NS,5032066,POI4,17534.404130921517
177,Corner Brook,CA,NL,5032306,POI4,578165.6457794942
178,Mississauga,CA,ON,5032630,POI3,524628.373304276
179,Calgary,CA,AB,5036653,POI1,280765.58157069556
180,Calgary,CA,AB,5044570,POI1,281068.2101016563
181,Newmarket,CA,ON,5056317,POI3,492533.3200844091
182,Windsor,CA,ON,5063796,POI3,828031.4275787162
183,Saint-Hubert,CA,QC,5066233,POI3,11300.06816027853
184,Calgary,CA,AB,5073177,POI1,275905.3959119666
185,Calgary,CA,AB,5080768,POI1,283526.6400944849
186,Longueuil,CA,QC,5089316,POI3,8680.349209081272
187,Brampton,CA,ON,5089671,POI3,523094.1867433666
188,Toronto,CA,ON,5093315,POI3,507590.1725237497
189,Ottawa,CA,ON,5113532,POI3,160614.0594730807
190,Toronto,CA,ON,5124861,POI3,504065.664231986
191,Calgary,CA,AB,5128320,POI1,281068.2101016563
192,Edmonton,CA,AB,5140757,POI1,6522.267774718992
193,Brantford,CA,ON,5143835,POI3,591560.3298000072
194,Mississauga,CA,ON,5150506,POI3,533364.6086669115
195,Oakville,CA,ON,5150874,POI3,536874.0990194277
196,Saskatoon,CA,SK,5154947,POI1,480734.4500350777
197,Montreal,CA,QC,5156735,POI3,15658.667744762986
198,Etobicoke,CA,ON,5159825,POI3,513967.9547546894
199,North York,CA,ON,5172519,POI3,504747.0464401434
200,Camrose,CA,AB,5174958,POI1,75285.86727363907
201,Etobicoke,CA,ON,5186922,POI3,516090.3406186901
202,Windsor,CA,ON,5192824,POI3,837123.4441062469
203,Edmonton,CA,AB,5204529,POI1,15237.724944088028
204,Montréal,CA,QC,5234272,POI3,8838.904191870839
205,Cochrane,CA,AB,5237971,POI1,271258.9908753684
206,Calgary,CA,AB,5240839,POI1,279823.2450880281
207,Brampton,CA,ON,5254520,POI3,521785.6716033521
208,Calgary,CA,AB,5266871,POI1,280765.58157069556
209,Calgary,CA,AB,5270501,POI1,288182.444010423
210,Winnipeg,CA,MB,5274341,POI1,1202710.8981832603
211,Macdougall Settlement,CA,NB,5274502,POI4,151467.73472924408
212,Etobicoke,CA,ON,5291554,POI3,514239.3004205554
213,Edmonton,CA,AB,5295514,POI1,9797.752036448222
214,Mississauga,CA,ON,5301168,POI3,533364.6086669115
215,Richmond Hill,CA,ON,5301620,POI3,497528.4824708168
216,Mississauga,CA,ON,5305178,POI3,526635.6000944439
217,Thunder Bay,CA,ON,5308674,POI3,1230597.645811437
218,Edmonton,CA,AB,5313345,POI1,1940.768656671209
219,Calgary,CA,AB,5328577,POI1,279673.63029724156
220,Markham,CA,ON,5338338,POI3,485476.15191107005
221,Red Deer,CA,AB,5339718,POI1,148047.4584614885
222,Barrie,CA,ON,5360220,POI3,502645.50163232646
223,Calgary,CA,AB,5401658,POI1,277574.4260891926
224,Calgary,CA,AB,5422092,POI1,281000.90732290887
225,Edmonton,CA,AB,5424261,POI1,15444.887292017698
226,Newmarket,CA,ON,5425365,POI3,492533.3200844091
227,Scarborough,CA,ON,5429856,POI3,485153.666493727
228,Burlington,CA,ON,5439222,POI3,546209.7738359557
229,Ponoka,CA,AB,5442056,POI1,96880.2698319202
230,Calgary,CA,AB,5453829,POI1,293328.14950976445
231,Toronto,CA,ON,5468158,POI3,507174.9434252782
232,Riverview,CA,NB,5496723,POI4,151719.96535271037
233,Toronto,CA,ON,5498699,POI3,505672.1678149146
234,Calgary,CA,AB,5529018,POI1,275905.3959119666
235,Markham,CA,ON,5545482,POI3,492728.2262102035
236,North York,CA,ON,5562690,POI3,501231.5236070773
237,Calgary,CA,AB,5563071,POI1,269066.1911083649
238,Ottawa,CA,ON,5570621,POI3,166159.71631384635
239,Edmonton,CA,AB,5579524,POI1,4647.188681022303
240,Burlington,CA,ON,5597849,POI3,550208.8805517773
241,Toronto,CA,ON,5607312,POI3,503727.5302843575
242,Red Deer,CA,AB,5611080,POI1,145898.38023577796
243,Mississauga,CA,ON,4529149,POI3,527234.250147323
244,Markham,CA,ON,4530117,POI3,489249.93432136375
245,Waterloo,CA,ON,4548963,POI3,596931.9139426178
246,Halifax,CA,NS,4580566,POI4,70597.65451888512
247,Calgary,CA,AB,4590185,POI1,277472.3140182742
248,Calgary,CA,AB,4593300,POI1,275840.6643288327
249,Red Deer,CA,AB,4614059,POI1,145898.38023577796
250,Orillia,CA,ON,4621889,POI3,470545.08632024797
251,Edmonton,CA,AB,4623296,POI1,723.1998215635728
252,Barrie,CA,ON,4634663,POI3,502645.50163232646
253,Cambridge,CA,ON,4669955,POI3,586535.6373091645
254,Edmonton,CA,AB,4670669,POI1,12098.23037499241
255,Calgary,CA,AB,4671150,POI1,288182.444010423
256,Edmonton,CA,AB,4674555,POI1,11787.141911666764
257,Richmond Hill,CA,ON,4683947,POI3,497903.65333346947
258,Edmonton,CA,AB,4686395,POI1,11465.744636014146
259,Toronto,CA,ON,4703484,POI3,510282.9094668875
260,Calgary,CA,AB,4723608,POI1,277472.3140182742
261,Cambridge,CA,ON,4744228,POI3,588589.8676506876
262,Edmonton,CA,AB,4760285,POI1,9996.127347958314
263,Calgary,CA,AB,4763294,POI1,281000.90732290887
264,Calgary,CA,AB,4769072,POI1,277013.3529465776
265,Calgary,CA,AB,4772666,POI1,281000.90732290887
266,Vancouver,CA,BC,4774371,POI1,820560.9798666484
267,Toronto,CA,ON,4784058,POI3,505728.2087703003
268,Calgary,CA,AB,4798982,POI1,277203.0063343148
269,Edmonton,CA,AB,4805094,POI1,10746.85869568755
270,Québec,CA,QC,4820421,POI3,227739.65412409327
271,Edmonton,CA,AB,4835200,POI1,7341.405088284415
272,Etobicoke,CA,ON,4843844,POI3,516356.0714022458
273,North York,CA,ON,4846537,POI3,501570.96387585707
274,Calgary,CA,AB,4852362,POI1,272661.0350799358
275,Edmonton,CA,AB,4860092,POI1,11869.199279093995
276,Toronto,CA,ON,4895512,POI3,507925.9118333028
277,Calgary,CA,AB,4904144,POI1,280643.7484188141
278,Spruce Grove,CA,AB,4913647,POI1,26169.692658239743
279,Langley,CA,BC,4915356,POI1,801397.6901979931
280,Kingston,CA,ON,4922661,POI3,269740.6912064696
281,Edmonton,CA,AB,4973775,POI1,15828.341841129193
282,Sherwood Park,CA,AB,5018096,POI1,13317.777273404281
283,Edmonton,CA,AB,5022582,POI1,6533.485466320603
284,Guelph,CA,ON,5026598,POI3,569647.7373988971
285,Flin Flon (Part),CA,MB,5026858,POI1,766758.6253219073
286,Edmonton,CA,AB,5027046,POI1,11869.199279093995
287,Toronto,CA,ON,5027551,POI3,510282.9094668875
288,Saint John,CA,NB,5034673,POI4,221862.32646799894
289,Edmonton,CA,AB,5046191,POI1,5318.771959370882
290,Saskatoon,CA,SK,5052937,POI1,480734.4500350777
291,Powell River,CA,BC,5057289,POI1,863380.4176115077
292,Edmonton,CA,AB,5058064,POI1,11333.69464057767
293,Mississauga,CA,ON,5063139,POI3,533246.220093142
294,Owen Sound,CA,ON,5067164,POI3,588854.8956069002
295,North York,CA,ON,5074790,POI3,501231.5236070773
296,Saint-Laurent,CA,QC,5088428,POI3,9460.927196015873
297,Calgary,CA,AB,5099812,POI1,271723.71630075393
298,Calgary,CA,AB,5106126,POI1,273333.0631928532
299,Calgary,CA,AB,5118444,POI1,279464.90023715154
300,Brampton,CA,ON,5127205,POI3,530973.4514060568
301,Saskatoon,CA,SK,5134310,POI1,488606.5480285492
302,Winnipeg,CA,MB,5142153,POI1,1193250.7822210223
303,Pickering,CA,ON,5158831,POI3,478824.8219700582
304,Toronto,CA,ON,5159429,POI3,510282.9094668875
305,Barrie,CA,ON,5160009,POI3,502645.50163232646
306,Guelph,CA,ON,5176281,POI3,569647.7373988971
307,Thunder Bay,CA,ON,5177674,POI3,1228576.2695462904
308,Toronto,CA,ON,5189150,POI3,505627.4335136032
309,Edmonton,CA,AB,5189512,POI1,11744.006230169698
310,Burlington,CA,ON,5215170,POI3,550803.1980323502
311,Edmonton,CA,AB,5217990,POI1,11787.141911666764
312,Beaumont,CA,AB,5219787,POI1,20531.421955621692
313,Montréal,CA,QC,5224234,POI3,4632.53819202131
314,Edmonton,CA,AB,5225016,POI1,7174.704855255869
315,Kitchener,CA,ON,5232960,POI3,597540.4191313949
316,Calgary,CA,AB,5254146,POI1,283526.6400944849
317,Burlington,CA,ON,5280082,POI3,551944.2102826621
318,Toronto,CA,ON,5320649,POI3,503723.28416426067
319,Mississauga,CA,ON,5323756,POI3,526791.7796905846
320,Markham,CA,ON,5326388,POI3,485146.5026119688
321,Edmonton,CA,AB,5333290,POI1,4995.261388141958
322,Calgary,CA,AB,5349504,POI1,277313.8001630848
323,Saskatoon,CA,SK,5353487,POI1,487414.9943002919
324,Montréal,CA,QC,5360713,POI3,3427.8521600379527
325,Wasaga Beach,CA,ON,5364234,POI3,517674.6194000838
326,Richmond Hill,CA,ON,5367272,POI3,498563.62463267625
327,Toronto,CA,ON,5391235,POI3,503884.73179760826
328,Regina,CA,SK,5407895,POI1,694901.2274946542
329,Saint Catharines,CA,ON,5414950,POI3,520747.79834493133
330,Etobicoke,CA,ON,5415775,POI3,516090.3406186901
331,Calgary,CA,AB,5419751,POI1,280898.2772790953
332,Almonte,CA,ON,5424984,POI3,207538.80779719166
333,Richmond Hill,CA,ON,5429615,POI3,497144.8458170105
334,Red Deer,CA,AB,5430022,POI1,143940.1668960184
335,Saskatoon,CA,SK,5436687,POI1,486698.50192454405
336,Saskatoon,CA,SK,5439380,POI1,480734.4500350777
337,Calgary,CA,AB,5441887,POI1,271561.2307303928
338,Edmonton,CA,AB,5443000,POI1,15961.344098814161
339,Morrin,CA,AB,5450677,POI1,213518.44006697097
340,Calgary,CA,AB,5453326,POI1,273655.29708635306
341,Saskatoon,CA,SK,5457771,POI1,480734.4500350777
342,Calgary,CA,AB,5475086,POI1,273655.29708635306
343,Saint-Hyacinthe,CA,QC,5485353,POI3,49222.68309698466
344,Richmond,CA,BC,5489025,POI1,826787.9060360144
345,Scarborough,CA,ON,5489396,POI3,494569.2288475359
346,Toronto,CA,ON,5489742,POI3,515571.300061879
347,Fort Mcmurray,CA,AB,5495997,POI1,377948.48191731
348,Calgary,CA,AB,5497740,POI1,272860.70982972096
349,Edmonton,CA,AB,5541631,POI1,5416.846823606217
350,Richmond,CA,BC,5546270,POI1,828080.0466355127
351,Ottawa,CA,ON,5555973,POI3,168220.15644914593
352,Maple,CA,ON,5558732,POI3,505188.895870525
353,Ottawa,CA,ON,5569318,POI3,174658.32964620666
354,Scarborough,CA,ON,5570010,POI3,492135.3776302763
355,Lethbridge,CA,AB,5571235,POI1,431843.6242697141
356,Toronto,CA,ON,5572810,POI3,505792.8548247167
357,Delta,CA,BC,5596957,POI1,834915.2289527571
358,Orillia,CA,ON,5598368,POI3,470545.08632024797
359,Vancouver,CA,BC,5604498,POI1,815217.2944535122
360,Toronto,CA,ON,5610658,POI3,505406.5546739611
361,Etobicoke,CA,ON,5612067,POI3,513967.9547546894
362,Kitchener,CA,ON,4521790,POI3,591762.7511776283
363,Edmonton,CA,AB,4558156,POI1,7171.370088561719
364,Barrie,CA,ON,4562336,POI3,498745.8506999885
365,Kingston,CA,ON,4563224,POI3,275722.8082277528
366,Bracebridge,CA,ON,4563490,POI3,438337.16216095735
367,Calgary,CA,AB,4605857,POI1,280764.47712461534
368,London,CA,ON,4617217,POI3,667225.7675917736
369,Edmonton,CA,AB,4632972,POI1,5347.118564189268
370,Thunder Bay,CA,ON,4638304,POI3,1229511.0054590623
371,Richmond Hill,CA,ON,4683843,POI3,497903.65333346947
372,Dawson Creek,CA,BC,4685233,POI1,500502.9150699779
373,Edmonton,CA,AB,4690715,POI1,10008.505942871514
374,Thornhill,CA,ON,4693452,POI3,502698.38313706906
375,Guelph,CA,ON,4702012,POI3,569647.7373988971
376,Etobicoke,CA,ON,4711191,POI3,519105.7838219803
377,Edmonton,CA,AB,4714486,POI1,7454.490418280265
378,Eckville,CA,AB,4742525,POI1,146350.67861528604
379,Mississauga,CA,ON,4752283,POI3,533070.1632131711
380,Edmonton,CA,AB,4753136,POI1,9797.752036448222
381,Calgary,CA,AB,4753532,POI1,281000.90732290887
382,Calgary,CA,AB,4759388,POI1,293348.5458516705
383,Fort Mcmurray,CA,AB,4760449,POI1,377948.48191731
384,Sparwood,CA,BC,4765611,POI1,435674.7397768686
385,Montréal,CA,QC,4776953,POI3,10137.407068209008
386,Saskatoon,CA,SK,4781660,POI1,480734.4500350777
387,Saint-Laurent,CA,QC,4791819,POI3,9465.320610898763
388,Irishtown,CA,NB,4794438,POI4,162199.59613351975
389,Red Deer,CA,AB,4794698,POI1,138995.81504936132
390,Burlington,CA,ON,4801664,POI3,550208.8805517773
391,Thornhill,CA,ON,4802501,POI3,496349.22110135347
392,Edmonton,CA,AB,4807160,POI1,9144.498660083655
393,Calgary,CA,AB,4814639,POI1,277013.3529465776
394,Montréal,CA,QC,4818106,POI3,4291.143782329531
395,Mississauga,CA,ON,4818806,POI3,521051.25015239
396,Delta,CA,BC,4824161,POI1,821234.6734131306
397,Etobicoke,CA,ON,4828035,POI3,516090.3406186901
398,Regina,CA,SK,4829295,POI1,698289.8084177603
399,North York,CA,ON,4830171,POI3,503481.65446272196
400,Leduc,CA,AB,4830708,POI1,31373.21467529517
401,Salaberry-De-Valleyfield,CA,QC,4833126,POI3,53351.64273599943
402,North York,CA,ON,4834090,POI3,503918.08977567364
403,Whitecourt,CA,AB,4839571,POI1,158396.52900392647
404,Corner Brook,CA,NL,4848573,POI4,575373.4521671146
405,Calgary,CA,AB,4860345,POI1,279013.2968219551
406,Spruce Grove,CA,AB,4867173,POI1,26169.692658239743
407,Barrie,CA,ON,4873549,POI3,502645.50163232646
408,Richmond,CA,BC,4874702,POI1,820213.8667436582
409,Edmonton,CA,AB,4891348,POI1,13771.482052796204
410,Mississauga,CA,ON,4901908,POI3,530720.0278017138
411,Fort Erie,CA,ON,4903349,POI3,517403.1054913684
412,Saskatoon,CA,SK,4910090,POI1,484459.47833381634
413,Moncton,CA,NB,4914853,POI4,153034.970691091
414,Richmond Hill,CA,ON,4921555,POI3,499187.0132853012
415,London,CA,ON,4924624,POI3,667225.7675917736
416,Brampton,CA,ON,4946865,POI3,530566.358113096
417,Calgary,CA,AB,4958698,POI1,277472.3140182742
418,Edmonton,CA,AB,4982098,POI1,14365.216319768739
419,Cochrane,CA,AB,4991798,POI1,271258.9908753684
420,Burlington,CA,ON,5003411,POI3,551012.0081369901
421,Calgary,CA,AB,5006989,POI1,285111.329598072
422,Beaumont,CA,AB,5026943,POI1,22248.99993207339
423,Trois-Rivières-Ouest,CA,QC,5043363,POI3,116191.63277791115
424,Leduc,CA,AB,5045392,POI1,31373.21467529517
425,Toronto,CA,ON,5053667,POI3,508482.7813631094
426,Toronto,CA,ON,5060850,POI3,507590.1725237497
427,Etobicoke,CA,ON,5074800,POI3,514855.3131282658
428,Montreal,CA,QC,5079162,POI3,15658.667744762986
429,Brampton,CA,ON,5084859,POI3,534898.964976392
430,Thorsby,CA,AB,5092754,POI1,52262.22955104047
431,Edmonton,CA,AB,5094314,POI1,5400.440647048924
432,Edmonton,CA,AB,5098440,POI1,10746.85869568755
433,Niagara Falls,CA,ON,5106791,POI3,516044.7109839202
434,Sydney,CA,NS,5135327,POI4,255374.69472758833
435,Edmonton,CA,AB,5135628,POI1,11958.40486861935
436,Edmonton,CA,AB,5148751,POI1,15237.724944088028
437,London,CA,ON,5153431,POI3,671353.2920706137
438,Ponoka,CA,AB,5156499,POI1,90746.47297586943
439,Moncton,CA,NB,5161174,POI4,154435.47868518654
440,Calgary,CA,AB,5170790,POI1,279673.63029724156
441,Calgary,CA,AB,5171920,POI1,273444.3837463405
442,North York,CA,ON,5184359,POI3,501817.6249340187
443,Montréal,CA,QC,5190538,POI3,4853.819444560553
444,Kitchener,CA,ON,5204509,POI3,591762.7511776283
445,Leduc,CA,AB,5221069,POI1,31373.21467529517
446,Alliston,CA,ON,5230313,POI3,518709.4549934094
447,Toronto,CA,ON,5260638,POI3,507590.1725237497
448,Calgary,CA,AB,5267263,POI1,285031.5165410274
449,Thornhill,CA,ON,5269444,POI3,496349.22110135347
450,Toronto,CA,ON,5270330,POI3,503727.5302843575
451,Milton,CA,ON,5289933,POI3,547877.2685732964
452,Scarborough,CA,ON,5290040,POI3,489986.3485781757
453,Ottawa,CA,ON,5293874,POI3,165750.4721585962
454,Ottawa,CA,ON,5302009,POI3,170944.5221490348
455,Calgary,CA,AB,5302257,POI1,267310.14063979866
456,Dieppe,CA,NB,5313799,POI4,150181.74995157032
457,Toronto,CA,ON,5336152,POI3,505672.1678149146
458,Moncton,CA,NB,5337993,POI4,155394.31315876712
459,Calgary,CA,AB,5354361,POI1,273018.77555076865
460,Calgary,CA,AB,5361431,POI1,283824.4788025726
461,Edmonton,CA,AB,5367103,POI1,6176.108874723947
462,Toronto,CA,ON,5381573,POI3,505622.6237891154
463,Deer Lake,CA,NL,5382407,POI4,620646.1110523586
464,Calgary,CA,AB,5389178,POI1,275840.6643288327
465,Thornhill,CA,ON,5402759,POI3,496349.22110135347
466,Scarborough,CA,ON,5406363,POI3,490165.8492488898
467,Scarborough,CA,ON,5441286,POI3,492771.32153968595
468,Calgary,CA,AB,5450178,POI1,277472.3140182742
469,Cochrane,CA,AB,5453194,POI1,271065.55241578864
470,Gatineau,CA,QC,5457809,POI3,164142.71989799434
